"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "PostCSS", "TypeScript JSX", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\biome.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\next.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\package-lock.json", "JSON", 4331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4332
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\package.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\dashboard\components\DashboardGoals.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 5, 23, 134
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\dashboard\components\DashboardInsight.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 18, 136
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\dashboard\components\DashboardKPIs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 1, 11, 65
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\dashboard\components\DashboardTasks.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 198, 0, 0, 7, 41, 246
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\dashboard\components\StreakIntro.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 174, 0, 0, 5, 26, 205
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 17, 84
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\goals\components\GoalDetailPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 328, 0, 0, 18, 37, 383
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\goals\components\GoalFormFields.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 116, 0, 0, 5, 13, 134
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\goals\components\GoalsAnalytics.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 118, 0, 0, 3, 22, 143
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\goals\components\GoalsFilter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 0, 3, 12, 103
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\goals\components\GoalsHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 7, 38
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\goals\components\GoalsHelpModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 134, 0, 0, 7, 19, 160
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\goals\components\GoalsHistory7d.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 116, 0, 0, 10, 29, 155
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\goals\components\GoalsList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 190, 0, 0, 10, 23, 223
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\goals\components\GoalsModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 171, 0, 0, 6, 26, 203
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\goals\components\GoalsSkeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 5, 6, 34
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\goals\components\GoalsStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 16, 71
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\goals\components\GoaltasksEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 209, 0, 0, 12, 29, 250
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\goals\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 170, 0, 0, 23, 40, 233
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 4, 16, 79
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\links\components\LinkCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 39, 204
