"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "JavaScript", "TypeScript JSX", "PostCSS", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\prisma\migrations\20260503202658_streak_system\migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 28, 9, 11, 48
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 172, 0, 47, 68, 287
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\app.controller.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\app.controller.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\app.module.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 2, 6, 43
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\app.service.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\main.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 6, 41
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\auth\auth.controller.spec.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\auth\auth.controller.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\auth\auth.guard.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 7, 35
